Phi,P,variable,value,SE
0.85,0.9,FRV,0.305489335,0.026806918
0.85,1,FRV,0.308766667,0.023559057
0.9,0.01,FRV,0.002040616,0.010089971
0.9,0.1,FRV,0.111536986,0.025630036
0.9,0.2,FRV,0.220311014,0.031550688
0.9,0.3,FRV,0.275981876,0.024533928
0.9,0.4,FRV,0.308722796,0.030712026
0.9,0.5,FRV,0.32668148,0.0283411
0.9,0.6,FRV,0.333349105,0.029837547
0.9,0.7,FRV,0.344459145,0.027637604
0.9,0.8,FRV,0.347561866,0.031012373
0.9,0.9,FRV,0.351875241,0.027747464
0.9,1,FRV,0.3561,0.026464109
0.95,0.01,FRV,0.003499864,0.011032191
0.95,0.1,FRV,0.200673714,0.029891486
0.95,0.2,FRV,0.328396384,0.02765233
0.95,0.3,FRV,0.357377895,0.030724887
0.95,0.4,FRV,0.360168907,0.027199571
0.95,0.5,FRV,0.357280516,0.026551507
0.95,0.6,FRV,0.360304062,0.030145862
0.95,0.7,FRV,0.353409032,0.028775613
0.95,0.8,FRV,0.34972219,0.027254277
0.95,0.9,FRV,0.354832228,0.028230954
0.95,1,FRV,0.350733333,0.025335371
1,0.01,FRV,0.00961599,0.016032053
1,0.1,FRV,0.375965821,0.031771025
1,0.2,FRV,0.462216181,0.030163477
1,0.3,FRV,0.377653709,0.027316306
1,0.4,FRV,0.289747706,0.02056419
1,0.5,FRV,0.2772417,0.028245349
1,0.6,FRV,0.244709473,0.025660786
1,0.7,FRV,0.249607619,0.028377856
1,0.8,FRV,0.231668287,0.024035549
1,0.9,FRV,0.223545819,0.023701293
1,1,FRV,0.226133333,0.0252072
0.7,0.01,FRS,0,0
0.7,0.1,FRS,0,0
0.7,0.2,FRS,0.00014668,0.001032502
0.7,0.3,FRS,0.000463769,0.00158367
0.7,0.4,FRS,0.001145317,0.002645528
0.7,0.5,FRS,0.002610011,0.003094025
0.7,0.6,FRS,0.00318236,0.00402869
0.7,0.7,FRS,0.002996471,0.003502366
0.7,0.8,FRS,0.004257016,0.003852593
0.7,0.9,FRS,0.004553385,0.003858454
0.7,1,FRS,0.004166667,0.003362666
0.75,0.01,FRS,0,0
0.75,0.1,FRS,0,0
0.75,0.2,FRS,0.001280121,0.002946622
0.75,0.3,FRS,0.001902623,0.003226604
0.75,0.4,FRS,0.003468781,0.003570742
0.75,0.5,FRS,0.006369602,0.004877412
0.75,0.6,FRS,0.007705773,0.005533642
0.75,0.7,FRS,0.009008007,0.00510394
0.75,0.8,FRS,0.009613852,0.005198171
0.75,0.9,FRS,0.010497766,0.006632165
0.75,1,FRS,0.011766667,0.005753153
0.8,0.01,FRS,0,0
0.8,0.1,FRS,0.000204614,0.001441426
0.8,0.2,FRS,0.002325292,0.003313147
0.8,0.3,FRS,0.005682112,0.005022844
0.8,0.4,FRS,0.009135152,0.00665102
0.8,0.5,FRS,0.017759592,0.009471694
0.8,0.6,FRS,0.020600954,0.008976131
0.8,0.7,FRS,0.025451305,0.009767603
0.8,0.8,FRS,0.024295423,0.008870934
0.8,0.9,FRS,0.027302391,0.008317714
0.8,1,FRS,0.0269,0.009735618
0.85,0.01,FRS,0.000592364,0.002473785
0.85,0.1,FRS,0.000592364,0.002473785
0.85,0.2,FRS,0.006346762,0.005677586
0.85,0.3,FRS,0.017457505,0.008404263
0.85,0.4,FRS,0.030715983,0.011694883
0.85,0.5,FRS,0.039131762,0.011812526
0.85,0.6,FRS,0.051279742,0.013043621
0.85,0.7,FRS,0.053520203,0.012852248
0.85,0.8,FRS,0.05965499,0.011713948
0.85,0.9,FRS,0.05859904,0.014508059
0.85,1,FRS,0.060833333,0.012339884
0.9,0.01,FRS,0,0
0.9,0.1,FRS,0.001498917,0.003587184
0.9,0.2,FRS,0.020913115,0.009572569
0.9,0.3,FRS,0.050143968,0.014886787
0.9,0.4,FRS,0.078428307,0.017364901
0.9,0.5,FRS,0.103524013,0.018838301
0.9,0.6,FRS,0.117281245,0.018446619
0.9,0.7,FRS,0.127425812,0.019974763
0.9,0.8,FRS,0.142571348,0.021240064
0.9,0.9,FRS,0.138959835,0.020493091
0.9,1,FRS,0.140366667,0.018783993
0.95,0.01,FRS,0,0
0.95,0.1,FRS,0.008916257,0.007211914
0.95,0.2,FRS,0.059934791,0.017083874
0.95,0.3,FRS,0.129296739,0.021030707
0.95,0.4,FRS,0.203331388,0.026617841
0.95,0.5,FRS,0.244248524,0.024859256
0.95,0.6,FRS,0.25866466,0.025937776
0.95,0.7,FRS,0.286088184,0.028137349
0.95,0.8,FRS,0.295091019,0.023573473
0.95,0.9,FRS,0.30278157,0.02530047
0.95,1,FRS,0.302266667,0.027799507
1,0.01,FRS,0,0
1,0.1,FRS,0.027284214,0.011024574
1,0.2,FRS,0.206250757,0.023851931
1,0.3,FRS,0.367909492,0.02525891
1,0.4,FRS,0.513712755,0.021459895
1,0.5,FRS,0.539583179,0.028168104
1,0.6,FRS,0.589837966,0.028051606
1,0.7,FRS,0.582508624,0.028626544
1,0.8,FRS,0.615949862,0.028329354
1,0.9,FRS,0.624774207,0.026643074
1,1,FRS,0.624066667,0.029582125
