Phi,P,variable,value,SE
0.85,1,Occasional,0.0255,0.009550797
0.9,0.01,Occasional,0,0
0.9,0.1,Occasional,0.001837336,0.004139443
0.9,0.2,Occasional,0.022288964,0.010850538
0.9,0.3,Occasional,0.050548009,0.015081201
0.9,0.4,Occasional,0.067444318,0.017032403
0.9,0.5,Occasional,0.062213362,0.015826921
0.9,0.6,Occasional,0.054063343,0.014372962
0.9,0.7,Occasional,0.047486841,0.012508349
0.9,0.8,Occasional,0.035305196,0.01060691
0.9,0.9,Occasional,0.02931593,0.00940974
0.9,1,Occasional,0.0277,0.008457924
0.95,0.01,Occasional,0,0
0.95,0.1,Occasional,0.00459204,0.004764537
0.95,0.2,Occasional,0.050477109,0.015361112
0.95,0.3,Occasional,0.108318328,0.018518206
0.95,0.4,Occasional,0.143842082,0.02348282
0.95,0.5,Occasional,0.119108511,0.019881405
0.95,0.6,Occasional,0.084582375,0.018290768
0.95,0.7,Occasional,0.059400364,0.011727893
0.95,0.8,Occasional,0.037641235,0.011929805
0.95,0.9,Occasional,0.02930398,0.009953594
0.95,1,Occasional,0.024733333,0.008712647
1,0.01,Occasional,0,0
1,0.1,Occasional,0.013743603,0.00807459
1,0.2,Occasional,0.151960648,0.023990349
1,0.3,Occasional,0.286068545,0.025842874
1,0.4,Occasional,0.326407461,0.024727612
1,0.5,Occasional,0.216947876,0.022331951
1,0.6,Occasional,0.1361092,0.020156933
1,0.7,Occasional,0.060199504,0.01310366
1,0.8,Occasional,0.013818346,0.007466668
1,0.9,Occasional,0.00070123,0.001446716
1,1,Occasional,0,0
0.7,0.01,Frequent,0,0
0.7,0.1,Frequent,0,0
0.7,0.2,Frequent,0,0
0.7,0.3,Frequent,0,0
0.7,0.4,Frequent,0,0
0.7,0.5,Frequent,8.66E-05,0.000609545
0.7,0.6,Frequent,0.00023779,0.000946304
0.7,0.7,Frequent,0.000226042,0.000899318
0.7,0.8,Frequent,0.000361862,0.001208197
0.7,0.9,Frequent,0.000793064,0.001536001
0.7,1,Frequent,8.00E-04,0.001716102
0.75,0.01,Frequent,0,0
0.75,0.1,Frequent,0,0
0.75,0.2,Frequent,0,0
0.75,0.3,Frequent,0,0
0.75,0.4,Frequent,0.000142374,0.000814208
0.75,0.5,Frequent,0.00029681,0.001087711
0.75,0.6,Frequent,0.000665843,0.001583883
0.75,0.7,Frequent,0.001042448,0.002055763
0.75,0.8,Frequent,0.001068659,0.00185723
0.75,0.9,Frequent,0.001476013,0.002200644
0.75,1,Frequent,0.001733333,0.00239153
0.8,0.01,Frequent,0,0
0.8,0.1,Frequent,0,0
0.8,0.2,Frequent,0,0
0.8,0.3,Frequent,0,0
0.8,0.4,Frequent,0.000528632,0.001439657
0.8,0.5,Frequent,0.001182855,0.00211412
0.8,0.6,Frequent,0.002138762,0.002668146
0.8,0.7,Frequent,0.002408711,0.002948651
0.8,0.8,Frequent,0.002218733,0.003297215
0.8,0.9,Frequent,0.002834703,0.003255547
0.8,1,Frequent,0.0032,0.003103888
0.85,0.01,Frequent,0,0
0.85,0.1,Frequent,0,0
0.85,0.2,Frequent,5.75E-05,0.000574713
0.85,0.3,Frequent,9.86E-05,0.000693536
0.85,0.4,Frequent,0.001452917,0.002660118
0.85,0.5,Frequent,0.0031307,0.004084729
0.85,0.6,Frequent,0.006302213,0.004967769
0.85,0.7,Frequent,0.006100005,0.004561346
0.85,0.8,Frequent,0.004102807,0.003768425
0.85,0.9,Frequent,0.004687528,0.004067717
0.85,1,Frequent,0.005166667,0.003888889
0.9,0.01,Frequent,0,0
0.9,0.1,Frequent,0,0
0.9,0.2,Frequent,0,0
0.9,0.3,Frequent,0.001262844,0.002502083
0.9,0.4,Frequent,0.004871101,0.004165931
0.9,0.5,Frequent,0.012868273,0.006845695
0.9,0.6,Frequent,0.015761998,0.007539528
0.9,0.7,Frequent,0.010933515,0.006234054
0.9,0.8,Frequent,0.009225871,0.005916956
0.9,0.9,Frequent,0.00692311,0.005126361
0.9,1,Frequent,0.006266667,0.004400796
0.95,0.01,Frequent,0,0
0.95,0.1,Frequent,0,0
0.95,0.2,Frequent,8.99E-05,0.000632388
0.95,0.3,Frequent,0.002160872,0.002928475
0.95,0.4,Frequent,0.01609533,0.008304682
0.95,0.5,Frequent,0.040109478,0.012310215
0.95,0.6,Frequent,0.042108231,0.012199366
0.95,0.7,Frequent,0.031444764,0.01092987
0.95,0.8,Frequent,0.01347126,0.007218608
0.95,0.9,Frequent,0.007920855,0.004562227
0.95,1,Frequent,0.007366667,0.00515299
1,0.01,Frequent,0,0
1,0.1,Frequent,0,0
1,0.2,Frequent,0.000333527,0.001065991
1,0.3,Frequent,0.008024424,0.005031419
1,0.4,Frequent,0.060539059,0.015623379
1,0.5,Frequent,0.120212196,0.018781892
1,0.6,Frequent,0.131219202,0.017910139
1,0.7,Frequent,0.064157277,0.015594619
1,0.8,Frequent,0.015627418,0.007810263
1,0.9,Frequent,0.000868902,0.001993062
1,1,Frequent,0,0
0.7,0.01,Common,0,0
0.7,0.1,Common,0,0
0.7,0.2,Common,0,0
0.7,0.3,Common,0,0
0.7,0.4,Common,0,0
0.7,0.5,Common,0,0
0.7,0.6,Common,4.05E-05,0.000404858
0.7,0.7,Common,0.000115109,0.000657895
0.7,0.8,Common,0.00014418,0.000709989
0.7,0.9,Common,0.000415873,0.001131941
0.7,1,Common,0.000866667,0.001615025
0.75,0.01,Common,0,0
0.75,0.1,Common,0,0
0.75,0.2,Common,0,0
0.75,0.3,Common,0,0
0.75,0.4,Common,0,0
0.75,0.5,Common,0,0
0.75,0.6,Common,3.97E-05,0.000396825
0.75,0.7,Common,0.000296788,0.001145059
0.75,0.8,Common,0.001209393,0.001970345
0.75,0.9,Common,0.001880799,0.00267449
0.75,1,Common,0.0033,0.00270075
0.8,0.01,Common,0,0
0.8,0.1,Common,0,0
0.8,0.2,Common,0,0
0.8,0.3,Common,0,0
0.8,0.4,Common,4.35E-05,0.000434783
0.8,0.5,Common,0.00012283,0.000702093
0.8,0.6,Common,0.000498148,0.001295492
0.8,0.7,Common,0.002842598,0.003330135
0.8,0.8,Common,0.00363515,0.003244988
0.8,0.9,Common,0.006494484,0.004730887
0.8,1,Common,0.008833333,0.00569275
0.85,0.01,Common,0,0
0.85,0.1,Common,0,0
0.85,0.2,Common,0,0
0.85,0.3,Common,5.03E-05,0.000502513
0.85,0.4,Common,0,0
0.85,0.5,Common,0.00027858,0.001020873
0.85,0.6,Common,0.002568707,0.002574038
0.85,0.7,Common,0.006092382,0.004638577
0.85,0.8,Common,0.01305105,0.005985291
0.85,0.9,Common,0.01779826,0.00814876
0.85,1,Common,0.022833333,0.008279286
0.9,0.01,Common,0,0
0.9,0.1,Common,0,0
0.9,0.2,Common,0,0
0.9,0.3,Common,0,0
0.9,0.4,Common,0.000119079,0.000680614
0.9,0.5,Common,0.001338561,0.00238075
0.9,0.6,Common,0.007718444,0.005186581
0.9,0.7,Common,0.024349643,0.008990369
0.9,0.8,Common,0.046625304,0.010459517
0.9,0.9,Common,0.058320521,0.013386268
0.9,1,Common,0.069666667,0.013710982
0.95,0.01,Common,0,0
0.95,0.1,Common,0,0
0.95,0.2,Common,0,0
0.95,0.3,Common,3.98E-05,0.000398406
0.95,0.4,Common,0.000592865,0.001557914
0.95,0.5,Common,0.006897122,0.004610499
0.95,0.6,Common,0.02778139,0.009581939
0.95,0.7,Common,0.086853678,0.016792769
0.95,0.8,Common,0.140556044,0.021286198
0.95,0.9,Common,0.176010858,0.02097582
0.95,1,Common,0.1957,0.024196609
1,0.01,Common,0,0
1,0.1,Common,0,0
1,0.2,Common,0,0
1,0.3,Common,0.000106911,0.000611048
1,0.4,Common,0.002730758,0.003008786
1,0.5,Common,0.02247592,0.008036584
1,0.6,Common,0.123305914,0.020652435
1,0.7,Common,0.255550006,0.026340848
1,0.8,Common,0.436807359,0.029980113
1,0.9,Common,0.502648376,0.028024906
1,1,Common,0.524833333,0.027659851
