Phi,P,variable,value,SE
0.9,0.01,MSR,0,0
0.9,0.1,MSR,0.056555925,0.019146081
0.9,0.2,MSR,0.188633544,0.029342536
0.9,0.3,MSR,0.285773929,0.026671088
0.9,0.4,MSR,0.357022904,0.030967979
0.9,0.5,MSR,0.40032535,0.03148447
0.9,0.6,MSR,0.417085055,0.032092041
0.9,0.7,MSR,0.427922632,0.028682803
0.9,0.8,MSR,0.42264331,0.030329963
0.9,0.9,MSR,0.418812698,0.033013243
0.9,1,MSR,0.4119,0.02604604
0.95,0.01,MSR,0,0
0.95,0.1,MSR,0.119677907,0.02475928
0.95,0.2,MSR,0.309255178,0.032699217
0.95,0.3,MSR,0.41982281,0.029642376
0.95,0.4,MSR,0.453255683,0.026899335
0.95,0.5,MSR,0.446544586,0.029631415
0.95,0.6,MSR,0.435967694,0.028631451
0.95,0.7,MSR,0.407237701,0.027059457
0.95,0.8,MSR,0.386024567,0.027860286
0.95,0.9,MSR,0.360914555,0.027370883
0.95,1,MSR,0.343933333,0.025778039
1,0.01,MSR,0.001353239,0.004995529
1,0.1,MSR,0.259736532,0.03312675
1,0.2,MSR,0.572378495,0.030455034
1,0.3,MSR,0.582184133,0.028676177
1,0.4,MSR,0.444678685,0.0277737
1,0.5,MSR,0.376313424,0.030904247
1,0.6,MSR,0.294319555,0.026166776
1,0.7,MSR,0.270391537,0.026773724
1,0.8,MSR,0.220156376,0.024805771
1,0.9,MSR,0.193441642,0.019839346
1,1,MSR,0.1766,0.021762827
0.7,0.01,HSR,0,0
0.7,0.1,HSR,0,0
0.7,0.2,HSR,0,0
0.7,0.3,HSR,0,0
0.7,0.4,HSR,0.000250273,0.001097043
0.7,0.5,HSR,0.001286101,0.00231646
0.7,0.6,HSR,0.002574004,0.003346539
0.7,0.7,HSR,0.005612899,0.005211182
0.7,0.8,HSR,0.010097488,0.006128577
0.7,0.9,HSR,0.016659279,0.008968677
0.7,1,HSR,0.0212,0.007991578
0.75,0.01,HSR,0,0
0.75,0.1,HSR,0,0
0.75,0.2,HSR,0,0
0.75,0.3,HSR,0.000157106,0.000897953
0.75,0.4,HSR,0.001239417,0.002514598
0.75,0.5,HSR,0.003878335,0.004131182
0.75,0.6,HSR,0.007675034,0.00587222
0.75,0.7,HSR,0.012718823,0.006533799
0.75,0.8,HSR,0.019659621,0.006959062
0.75,0.9,HSR,0.029713323,0.010182313
0.75,1,HSR,0.0429,0.010789851
0.8,0.01,HSR,0,0
0.8,0.1,HSR,0,0
0.8,0.2,HSR,0.000125005,0.00087946
0.8,0.3,HSR,0.000899125,0.002243286
0.8,0.4,HSR,0.003308328,0.003956545
0.8,0.5,HSR,0.010280331,0.006887482
0.8,0.6,HSR,0.018607254,0.008252287
0.8,0.7,HSR,0.033347019,0.011210214
0.8,0.8,HSR,0.04525264,0.011058654
0.8,0.9,HSR,0.063449247,0.013613559
0.8,1,HSR,0.0788,0.016807619
0.85,0.01,HSR,0,0
0.85,0.1,HSR,0,0
0.85,0.2,HSR,0.000277764,0.001218216
0.85,0.3,HSR,0.003371257,0.004732851
0.85,0.4,HSR,0.012341321,0.00762538
0.85,0.5,HSR,0.025266555,0.009289651
0.85,0.6,HSR,0.047144216,0.012593222
0.85,0.7,HSR,0.06620834,0.012963085
0.85,0.8,HSR,0.09301715,0.015026944
0.85,0.9,HSR,0.116358817,0.020472544
0.85,1,HSR,0.143066667,0.016505483
0.9,0.01,HSR,0,0
0.9,0.1,HSR,0,0
0.9,0.2,HSR,0.00141219,0.00266404
0.9,0.3,HSR,0.012594318,0.00756975
0.9,0.4,HSR,0.03606859,0.011888195
0.9,0.5,HSR,0.072997594,0.016581069
0.9,0.6,HSR,0.10714997,0.017388841
0.9,0.7,HSR,0.144920208,0.022155425
0.9,0.8,HSR,0.194609215,0.022247277
0.9,0.9,HSR,0.22549037,0.024081209
0.9,1,HSR,0.263333333,0.027096701
0.95,0.01,HSR,0,0
0.95,0.1,HSR,0,0
0.95,0.2,HSR,0.004415982,0.004671435
0.95,0.3,HSR,0.036072119,0.01177017
0.95,0.4,HSR,0.113579206,0.019729769
0.95,0.5,HSR,0.190530653,0.022753927
0.95,0.6,HSR,0.243265665,0.02582608
0.95,0.7,HSR,0.314558204,0.031458381
0.95,0.8,HSR,0.363878212,0.025981167
0.95,0.9,HSR,0.415653331,0.027857178
0.95,1,HSR,0.4499,0.028034991
1,0.01,HSR,0,0
1,0.1,HSR,0.000167899,0.000827131
1,0.2,HSR,0.023090646,0.009231001
1,0.3,HSR,0.140376559,0.020286766
1,0.4,HSR,0.363270685,0.024723486
1,0.5,HSR,0.464244866,0.028090451
1,0.6,HSR,0.573425402,0.026931491
1,0.7,HSR,0.613244475,0.028297196
1,0.8,HSR,0.683462248,0.026688281
1,0.9,HSR,0.722576726,0.023553331
1,1,HSR,0.7503,0.027105377
