Phi,P,variable,value,SE
0.9,0.5,Resident,0.008276146,0.005060399
0.9,0.6,Resident,0.009848702,0.004893191
0.9,0.7,Resident,0.009321404,0.004920615
0.9,0.8,Resident,0.013052177,0.006686876
0.9,0.9,Resident,0.011486226,0.006465279
0.9,1,Resident,0.0115,0.006485328
0.95,0.01,Resident,0.00E+00,0
0.95,0.1,Resident,6.13E-05,0.000613497
0.95,0.2,Resident,0.000694018,0.001899741
0.95,0.3,Resident,0.005077494,0.004695948
0.95,0.4,Resident,0.021595223,0.00952753
0.95,0.5,Resident,0.039101031,0.011493479
0.95,0.6,Resident,0.037305048,0.010510511
0.95,0.7,Resident,0.05256796,0.012696415
0.95,0.8,Resident,0.058122646,0.014988675
0.95,0.9,Resident,0.057792429,0.012385994
0.95,1,Resident,0.060233333,0.013944374
1,0.01,Resident,0,0
1,0.1,Resident,0,0
1,0.2,Resident,0.005341876,0.004486644
1,0.3,Resident,0.032054842,0.011026138
1,0.4,Resident,0.113037044,0.017850983
1,0.5,Resident,0.144635228,0.019922936
1,0.6,Resident,0.206246151,0.026434256
1,0.7,Resident,0.174922036,0.02437563
1,0.8,Resident,0.234575248,0.026264851
1,0.9,Resident,0.244462284,0.028187452
1,1,Resident,0.246866667,0.023392518
