Phi,P,variable,value,SD
0.85,0.5,Seasonal.resident,0.002784318,0.003465156
0.85,0.6,Seasonal.resident,0.003269756,0.003305149
0.85,0.7,Seasonal.resident,0.003728568,0.004001606
0.85,0.8,Seasonal.resident,0.003935892,0.003497086
0.85,0.9,Seasonal.resident,0.00488763,0.004433519
0.85,1,Seasonal.resident,0.004,0.003700335
0.9,0.01,Seasonal.resident,0,0
0.9,0.1,Seasonal.resident,0.000777245,0.002224527
0.9,0.2,Seasonal.resident,0.004218154,0.004902315
0.9,0.3,Seasonal.resident,0.006945229,0.005421724
0.9,0.4,Seasonal.resident,0.010286416,0.006232407
0.9,0.5,Seasonal.resident,0.014216042,0.007331779
0.9,0.6,Seasonal.resident,0.017491077,0.007171678
0.9,0.7,Seasonal.resident,0.019000365,0.00700366
0.9,0.8,Seasonal.resident,0.020941443,0.008405518
0.9,0.9,Seasonal.resident,0.019762367,0.008564516
0.9,1,Seasonal.resident,0.0202,0.008472839
0.95,0.01,Seasonal.resident,0,0
0.95,0.1,Seasonal.resident,0.004561572,0.005297806
0.95,0.2,Seasonal.resident,0.01239696,0.007396614
0.95,0.3,Seasonal.resident,0.026281582,0.010441154
0.95,0.4,Seasonal.resident,0.046314446,0.013265529
0.95,0.5,Seasonal.resident,0.060355907,0.015019821
0.95,0.6,Seasonal.resident,0.070103264,0.015913549
0.95,0.7,Seasonal.resident,0.085056915,0.01596923
0.95,0.8,Seasonal.resident,0.089900324,0.017316203
0.95,0.9,Seasonal.resident,0.093905725,0.014618952
0.95,1,Seasonal.resident,0.093133333,0.01628051
1,0.01,Seasonal.resident,0.000238095,0.002380952
1,0.1,Seasonal.resident,0.014577383,0.008360412
1,0.2,Seasonal.resident,0.056348604,0.013659935
1,0.3,Seasonal.resident,0.110628456,0.019537686
1,0.4,Seasonal.resident,0.199342378,0.023068894
1,0.5,Seasonal.resident,0.243647006,0.027948861
1,0.6,Seasonal.resident,0.318869332,0.026903518
1,0.7,Seasonal.resident,0.320210663,0.030197711
1,0.8,Seasonal.resident,0.381709745,0.030490516
1,0.9,Seasonal.resident,0.395329156,0.030659876
1,1,Seasonal.resident,0.398533333,0.022713361
0.7,0.01,Resident,0,0
0.7,0.1,Resident,0.000353009,0.00202152
0.7,0.2,Resident,0.002430678,0.004063966
0.7,0.3,Resident,0.005806336,0.005532487
0.7,0.4,Resident,0.007043462,0.005687886
0.7,0.5,Resident,0.012003856,0.007017694
0.7,0.6,Resident,0.015530503,0.007968287
0.7,0.7,Resident,0.017824609,0.007726691
0.7,0.8,Resident,0.020811518,0.009043587
0.7,0.9,Resident,0.022203081,0.009254813
0.7,1,Resident,0.0224,0.008646701
0.75,0.01,Resident,0,0
0.75,0.1,Resident,0.000144928,0.001449275
0.75,0.2,Resident,0.002962367,0.004806743
0.75,0.3,Resident,0.008788872,0.006652622
0.75,0.4,Resident,0.015697795,0.006952864
0.75,0.5,Resident,0.023579703,0.009626858
0.75,0.6,Resident,0.028762158,0.010553439
0.75,0.7,Resident,0.032581155,0.011687197
0.75,0.8,Resident,0.035553386,0.011934005
0.75,0.9,Resident,0.036868827,0.01167467
0.75,1,Resident,0.041466667,0.011413265
0.8,0.01,Resident,0,0
0.8,0.1,Resident,0.000589515,0.002354243
0.8,0.2,Resident,0.006389039,0.00633788
0.8,0.3,Resident,0.014891515,0.008526438
0.8,0.4,Resident,0.025817382,0.011218213
0.8,0.5,Resident,0.042989359,0.013072579
0.8,0.6,Resident,0.052944425,0.013995486
0.8,0.7,Resident,0.064676372,0.014108306
0.8,0.8,Resident,0.068530078,0.0145665
0.8,0.9,Resident,0.068129115,0.014774778
0.8,1,Resident,0.071,0.014797549
0.85,0.01,Resident,0,0
0.85,0.1,Resident,0.000967833,0.002776504
0.85,0.2,Resident,0.011156355,0.007840014
